withdrawal_id,card_number,atm_id,location,amount,fee,timestamp,balance_after
ID000027,card_number_27,ID000027,location_27,419.9,fee_27,2026-03-28,419.9
ID000028,card_number_28,ID000028,location_28,433.6,fee_28,2026-03-01,433.6
ID000029,card_number_29,ID000029,location_29,447.3,fee_29,2026-03-02,447.3
ID000030,card_number_30,ID000030,location_30,461.0,fee_30,2026-03-03,461.0
ID000031,card_number_31,ID000031,location_31,474.7,fee_31,2026-03-04,474.7
ID000032,card_number_32,ID000032,location_32,488.4,fee_32,2026-03-05,488.4
ID000033,card_number_33,ID000033,location_33,502.1,fee_33,2026-03-06,502.1
ID000034,card_number_34,ID000034,location_34,515.8,fee_34,2026-03-07,515.8
ID000035,card_number_35,ID000035,location_35,529.5,fee_35,2026-03-08,529.5
ID000036,card_number_36,ID000036,location_36,543.2,fee_36,2026-03-09,543.2
ID000037,card_number_37,ID000037,location_37,556.9,fee_37,2026-03-10,556.9
ID000038,card_number_38,ID000038,location_38,570.6,fee_38,2026-03-11,570.6
ID000039,card_number_39,ID000039,location_39,584.3,fee_39,2026-03-12,584.3
ID000040,card_number_40,ID000040,location_40,598.0,fee_40,2026-03-13,598.0
ID000041,card_number_41,ID000041,location_41,611.7,fee_41,2026-03-14,611.7
ID000042,card_number_42,ID000042,location_42,625.4,fee_42,2026-03-15,625.4
ID000043,card_number_43,ID000043,location_43,639.1,fee_43,2026-03-16,639.1
ID000044,card_number_44,ID000044,location_44,652.8,fee_44,2026-03-17,652.8
ID000045,card_number_45,ID000045,location_45,666.5,fee_45,2026-03-18,666.5
ID000046,card_number_46,ID000046,location_46,680.2,fee_46,2026-03-19,680.2
ID000047,card_number_47,ID000047,location_47,693.9,fee_47,2026-03-20,693.9
ID000048,card_number_48,ID000048,location_48,707.6,fee_48,2026-03-21,707.6
ID000049,card_number_49,ID000049,location_49,721.3,fee_49,2026-03-22,721.3
ID000050,card_number_50,ID000050,location_50,735.0,fee_50,2026-03-23,735.0
ID000051,card_number_51,ID000051,location_51,748.7,fee_51,2026-03-24,748.7
ID000052,card_number_52,ID000052,location_52,762.4,fee_52,2026-03-25,762.4
ID000053,card_number_53,ID000053,location_53,776.1,fee_53,2026-03-26,776.1
ID000054,card_number_54,ID000054,location_54,789.8,fee_54,2026-03-27,789.8
ID000055,card_number_55,ID000055,location_55,803.5,fee_55,2026-03-28,803.5
ID000056,card_number_56,ID000056,location_56,817.2,fee_56,2026-03-01,817.2
ID000057,card_number_57,ID000057,location_57,830.9,fee_57,2026-03-02,830.9
ID000058,card_number_58,ID000058,location_58,844.6,fee_58,2026-03-03,844.6
ID000059,card_number_59,ID000059,location_59,858.3,fee_59,2026-03-04,858.3
ID000060,card_number_60,ID000060,location_60,872.0,fee_60,2026-03-05,872.0
ID000061,card_number_61,ID000061,location_61,885.7,fee_61,2026-03-06,885.7
ID000062,card_number_62,ID000062,location_62,899.4,fee_62,2026-03-07,899.4
ID000063,card_number_63,ID000063,location_63,913.1,fee_63,2026-03-08,913.1
ID000064,card_number_64,ID000064,location_64,926.8,fee_64,2026-03-09,926.8
ID000065,card_number_65,ID000065,location_65,940.5,fee_65,2026-03-10,940.5
ID000066,card_number_66,ID000066,location_66,954.2,fee_66,2026-03-11,954.2
ID000067,card_number_67,ID000067,location_67,967.9,fee_67,2026-03-12,967.9
ID000068,card_number_68,ID000068,location_68,981.6,fee_68,2026-03-13,981.6
ID000069,card_number_69,ID000069,location_69,995.3,fee_69,2026-03-14,995.3
ID000070,card_number_70,ID000070,location_70,1009.0,fee_70,2026-03-15,1009.0
ID000071,card_number_71,ID000071,location_71,1022.7,fee_71,2026-03-16,1022.7
ID000072,card_number_72,ID000072,location_72,1036.4,fee_72,2026-03-17,1036.4
ID000073,card_number_73,ID000073,location_73,1050.1,fee_73,2026-03-18,1050.1
ID000074,card_number_74,ID000074,location_74,1063.8,fee_74,2026-03-19,1063.8
ID000075,card_number_75,ID000075,location_75,1077.5,fee_75,2026-03-20,1077.5
ID000076,card_number_76,ID000076,location_76,1091.2,fee_76,2026-03-21,1091.2
ID000077,card_number_77,ID000077,location_77,1104.9,fee_77,2026-03-22,1104.9
ID000078,card_number_78,ID000078,location_78,1118.6,fee_78,2026-03-23,1118.6
ID000079,card_number_79,ID000079,location_79,1132.3,fee_79,2026-03-24,1132.3
ID000080,card_number_80,ID000080,location_80,1146.0,fee_80,2026-03-25,1146.0
ID000081,card_number_81,ID000081,location_81,1159.7,fee_81,2026-03-26,1159.7
ID000082,card_number_82,ID000082,location_82,1173.4,fee_82,2026-03-27,1173.4
ID000083,card_number_83,ID000083,location_83,1187.1,fee_83,2026-03-28,1187.1
ID000084,card_number_84,ID000084,location_84,1200.8,fee_84,2026-03-01,1200.8
ID000085,card_number_85,ID000085,location_85,1214.5,fee_85,2026-03-02,1214.5
ID000086,card_number_86,ID000086,location_86,1228.2,fee_86,2026-03-03,1228.2
ID000087,card_number_87,ID000087,location_87,1241.9,fee_87,2026-03-04,1241.9
ID000088,card_number_88,ID000088,location_88,1255.6,fee_88,2026-03-05,1255.6
ID000089,card_number_89,ID000089,location_89,1269.3,fee_89,2026-03-06,1269.3
ID000090,card_number_90,ID000090,location_90,1283.0,fee_90,2026-03-07,1283.0
ID000091,card_number_91,ID000091,location_91,1296.7,fee_91,2026-03-08,1296.7
ID000092,card_number_92,ID000092,location_92,1310.4,fee_92,2026-03-09,1310.4
ID000093,card_number_93,ID000093,location_93,1324.1,fee_93,2026-03-10,1324.1
ID000094,card_number_94,ID000094,location_94,1337.8,fee_94,2026-03-11,1337.8
ID000095,card_number_95,ID000095,location_95,1351.5,fee_95,2026-03-12,1351.5
ID000096,card_number_96,ID000096,location_96,1365.2,fee_96,2026-03-13,1365.2
ID000097,card_number_97,ID000097,location_97,1378.9,fee_97,2026-03-14,1378.9
ID000098,card_number_98,ID000098,location_98,1392.6,fee_98,2026-03-15,1392.6
ID000099,card_number_99,ID000099,location_99,1406.3,fee_99,2026-03-16,1406.3
ID000100,card_number_100,ID000100,location_100,1420.0,fee_100,2026-03-17,1420.0
