kyc_id,customer_id,full_name,date_of_birth,nationality,id_type,id_number,id_expiry,address,verification_status,verification_date,risk_rating
ID000045,ID000045,Demo Full_Name 45,2026-03-18,nationality_45,ID000045,ID000045,ID000045,address_45,pending,2026-03-18,risk_rating_45
ID000046,ID000046,Demo Full_Name 46,2026-03-19,nationality_46,ID000046,ID000046,ID000046,address_46,rejected,2026-03-19,risk_rating_46
ID000047,ID000047,Demo Full_Name 47,2026-03-20,nationality_47,ID000047,ID000047,ID000047,address_47,approved,2026-03-20,risk_rating_47
ID000048,ID000048,Demo Full_Name 48,2026-03-21,nationality_48,ID000048,ID000048,ID000048,address_48,completed,2026-03-21,risk_rating_48
ID000049,ID000049,Demo Full_Name 49,2026-03-22,nationality_49,ID000049,ID000049,ID000049,address_49,pending,2026-03-22,risk_rating_49
ID000050,ID000050,Demo Full_Name 50,2026-03-23,nationality_50,ID000050,ID000050,ID000050,address_50,rejected,2026-03-23,risk_rating_50
ID000051,ID000051,Demo Full_Name 51,2026-03-24,nationality_51,ID000051,ID000051,ID000051,address_51,approved,2026-03-24,risk_rating_51
ID000052,ID000052,Demo Full_Name 52,2026-03-25,nationality_52,ID000052,ID000052,ID000052,address_52,approved,2026-03-25,risk_rating_52
ID000053,ID000053,Demo Full_Name 53,2026-03-26,nationality_53,ID000053,ID000053,ID000053,address_53,completed,2026-03-26,risk_rating_53
ID000054,ID000054,Demo Full_Name 54,2026-03-27,nationality_54,ID000054,ID000054,ID000054,address_54,rejected,2026-03-27,risk_rating_54
ID000055,ID000055,Demo Full_Name 55,2026-03-28,nationality_55,ID000055,ID000055,ID000055,address_55,approved,2026-03-28,risk_rating_55
ID000056,ID000056,Demo Full_Name 56,2026-03-01,nationality_56,ID000056,ID000056,ID000056,address_56,approved,2026-03-01,risk_rating_56
ID000057,ID000057,Demo Full_Name 57,2026-03-02,nationality_57,ID000057,ID000057,ID000057,address_57,approved,2026-03-02,risk_rating_57
ID000058,ID000058,Demo Full_Name 58,2026-03-03,nationality_58,ID000058,ID000058,ID000058,address_58,rejected,2026-03-03,risk_rating_58
ID000059,ID000059,Demo Full_Name 59,2026-03-04,nationality_59,ID000059,ID000059,ID000059,address_59,completed,2026-03-04,risk_rating_59
ID000060,ID000060,Demo Full_Name 60,2026-03-05,nationality_60,ID000060,ID000060,ID000060,address_60,pending,2026-03-05,risk_rating_60
ID000061,ID000061,Demo Full_Name 61,2026-03-06,nationality_61,ID000061,ID000061,ID000061,address_61,completed,2026-03-06,risk_rating_61
ID000062,ID000062,Demo Full_Name 62,2026-03-07,nationality_62,ID000062,ID000062,ID000062,address_62,completed,2026-03-07,risk_rating_62
ID000063,ID000063,Demo Full_Name 63,2026-03-08,nationality_63,ID000063,ID000063,ID000063,address_63,completed,2026-03-08,risk_rating_63
ID000064,ID000064,Demo Full_Name 64,2026-03-09,nationality_64,ID000064,ID000064,ID000064,address_64,completed,2026-03-09,risk_rating_64
ID000065,ID000065,Demo Full_Name 65,2026-03-10,nationality_65,ID000065,ID000065,ID000065,address_65,pending,2026-03-10,risk_rating_65
ID000066,ID000066,Demo Full_Name 66,2026-03-11,nationality_66,ID000066,ID000066,ID000066,address_66,approved,2026-03-11,risk_rating_66
ID000067,ID000067,Demo Full_Name 67,2026-03-12,nationality_67,ID000067,ID000067,ID000067,address_67,approved,2026-03-12,risk_rating_67
ID000068,ID000068,Demo Full_Name 68,2026-03-13,nationality_68,ID000068,ID000068,ID000068,address_68,approved,2026-03-13,risk_rating_68
ID000069,ID000069,Demo Full_Name 69,2026-03-14,nationality_69,ID000069,ID000069,ID000069,address_69,completed,2026-03-14,risk_rating_69
ID000070,ID000070,Demo Full_Name 70,2026-03-15,nationality_70,ID000070,ID000070,ID000070,address_70,pending,2026-03-15,risk_rating_70
ID000071,ID000071,Demo Full_Name 71,2026-03-16,nationality_71,ID000071,ID000071,ID000071,address_71,approved,2026-03-16,risk_rating_71
ID000072,ID000072,Demo Full_Name 72,2026-03-17,nationality_72,ID000072,ID000072,ID000072,address_72,rejected,2026-03-17,risk_rating_72
ID000073,ID000073,Demo Full_Name 73,2026-03-18,nationality_73,ID000073,ID000073,ID000073,address_73,rejected,2026-03-18,risk_rating_73
ID000074,ID000074,Demo Full_Name 74,2026-03-19,nationality_74,ID000074,ID000074,ID000074,address_74,pending,2026-03-19,risk_rating_74
ID000075,ID000075,Demo Full_Name 75,2026-03-20,nationality_75,ID000075,ID000075,ID000075,address_75,completed,2026-03-20,risk_rating_75
ID000076,ID000076,Demo Full_Name 76,2026-03-21,nationality_76,ID000076,ID000076,ID000076,address_76,completed,2026-03-21,risk_rating_76
ID000077,ID000077,Demo Full_Name 77,2026-03-22,nationality_77,ID000077,ID000077,ID000077,address_77,pending,2026-03-22,risk_rating_77
ID000078,ID000078,Demo Full_Name 78,2026-03-23,nationality_78,ID000078,ID000078,ID000078,address_78,rejected,2026-03-23,risk_rating_78
ID000079,ID000079,Demo Full_Name 79,2026-03-24,nationality_79,ID000079,ID000079,ID000079,address_79,approved,2026-03-24,risk_rating_79
ID000080,ID000080,Demo Full_Name 80,2026-03-25,nationality_80,ID000080,ID000080,ID000080,address_80,approved,2026-03-25,risk_rating_80
ID000081,ID000081,Demo Full_Name 81,2026-03-26,nationality_81,ID000081,ID000081,ID000081,address_81,completed,2026-03-26,risk_rating_81
ID000082,ID000082,Demo Full_Name 82,2026-03-27,nationality_82,ID000082,ID000082,ID000082,address_82,rejected,2026-03-27,risk_rating_82
ID000083,ID000083,Demo Full_Name 83,2026-03-28,nationality_83,ID000083,ID000083,ID000083,address_83,completed,2026-03-28,risk_rating_83
ID000084,ID000084,Demo Full_Name 84,2026-03-01,nationality_84,ID000084,ID000084,ID000084,address_84,pending,2026-03-01,risk_rating_84
ID000085,ID000085,Demo Full_Name 85,2026-03-02,nationality_85,ID000085,ID000085,ID000085,address_85,approved,2026-03-02,risk_rating_85
ID000086,ID000086,Demo Full_Name 86,2026-03-03,nationality_86,ID000086,ID000086,ID000086,address_86,rejected,2026-03-03,risk_rating_86
ID000087,ID000087,Demo Full_Name 87,2026-03-04,nationality_87,ID000087,ID000087,ID000087,address_87,completed,2026-03-04,risk_rating_87
ID000088,ID000088,Demo Full_Name 88,2026-03-05,nationality_88,ID000088,ID000088,ID000088,address_88,approved,2026-03-05,risk_rating_88
ID000089,ID000089,Demo Full_Name 89,2026-03-06,nationality_89,ID000089,ID000089,ID000089,address_89,completed,2026-03-06,risk_rating_89
ID000090,ID000090,Demo Full_Name 90,2026-03-07,nationality_90,ID000090,ID000090,ID000090,address_90,approved,2026-03-07,risk_rating_90
ID000091,ID000091,Demo Full_Name 91,2026-03-08,nationality_91,ID000091,ID000091,ID000091,address_91,rejected,2026-03-08,risk_rating_91
ID000092,ID000092,Demo Full_Name 92,2026-03-09,nationality_92,ID000092,ID000092,ID000092,address_92,completed,2026-03-09,risk_rating_92
ID000093,ID000093,Demo Full_Name 93,2026-03-10,nationality_93,ID000093,ID000093,ID000093,address_93,pending,2026-03-10,risk_rating_93
ID000094,ID000094,Demo Full_Name 94,2026-03-11,nationality_94,ID000094,ID000094,ID000094,address_94,approved,2026-03-11,risk_rating_94
ID000095,ID000095,Demo Full_Name 95,2026-03-12,nationality_95,ID000095,ID000095,ID000095,address_95,completed,2026-03-12,risk_rating_95
ID000096,ID000096,Demo Full_Name 96,2026-03-13,nationality_96,ID000096,ID000096,ID000096,address_96,pending,2026-03-13,risk_rating_96
ID000097,ID000097,Demo Full_Name 97,2026-03-14,nationality_97,ID000097,ID000097,ID000097,address_97,completed,2026-03-14,risk_rating_97
ID000098,ID000098,Demo Full_Name 98,2026-03-15,nationality_98,ID000098,ID000098,ID000098,address_98,pending,2026-03-15,risk_rating_98
ID000099,ID000099,Demo Full_Name 99,2026-03-16,nationality_99,ID000099,ID000099,ID000099,address_99,completed,2026-03-16,risk_rating_99
ID000100,ID000100,Demo Full_Name 100,2026-03-17,nationality_100,ID000100,ID000100,ID000100,address_100,completed,2026-03-17,risk_rating_100
